key|data|validation
512796274|faery|4f803978f0583666f3d919c2ac37668c1769314b8d02bba0e847e2fbede1095e
385333338|pattern|9d14460ba2678f7320d0d3c09553da480e453d01e4c599975cb76036fb44f24a
375935619|Argas|067150c3dd607e3aeabb4955e3a8747834a3c7ecbf7b2b93951ec2171365d554
210603472|tessara|2a827c44b8e30d923880ab8758d3173c57ec5dca7dfeac8543f238b4eabf9227
723940338|funkiness|3ac7286476bd40d956aa260d6e6ff2d76a4505f91e69ddd684e75bd258dd113a
249165984|paleichthyology|a923d9c1a393428488812e8ce8dc0a1356fee8ebcfdf20c2aea7bdb17bda8175
887328578|intrencher|21c738dc280625408e44d486e2489557c5d955caf67d56c110af46b7488be7b1
838641478|oddlegs|2a57b71d0a74293c0928fdc89e395517f1bf6f3d613800d4aa7fc89da5ecbff2
906434547|Metrazol|bd201e4600d186eb37d29a0c0b2e73ee64d3140ac654e4de5a7ac9eadc38af24
120069863|peridermal|83b25af48a102454f4f25898418a53d6c1768ea57fd1f748c0ca76c36ca529ca
381149685|vulnerably|a3fb2dcebbf812b482afaf99a6b60ffedc2dce1cef338d7d6320d71193588e0e
429952917|radiophotography|0a0ca0a894d09e0f4e45235eeb6f61dbc1ec13997116154db90e2bdd2999ff6a
302095634|acheweed|a1be5e3a5432e043498bc72cc839b48edd34fbf10d5141e54396a2704ea7b1d9
323529149|withstandingness|055c69367a891774579010bd9aa194299046d46838f9892ad106771ac5b148f1
366814059|sedateness|0fde8843c4d453805935e140cb4782d7b01e35d3d839e9d933b470c209926d7a
874939031|levulose|7803dbdd3e70d7c1b8f058888f55b6b229382d10ba3f3e9d5eba3f3ad9495399
915331594|anniversariness|62aa951fee844be2f012af90fde08b80796b5a8b41f8e59d35003c2c0d6f81b8
190414378|hypocaust|7e80fcb838f1cd9af25b13560be98966a1d87a290e84f8f6ca543b39011a24f4
476500296|pseudosyphilis|24653f1d095d18baf111daca2ea59d9cedb21c5d5b0a8565e8d91f61d282bb3e
328236771|alangin|8392490e5e972553e5d1bdc5af0eab687ba6f43747b515260b8aab8255fdf0cc
927485368|pneumatosic|51e635e441aabe45e55cfccba2a4668bc374e06445642ff7bca2caac330ac1b3
414483640|leucocyte|538ffe5e3098ee9a043e2ccb4b010f011a7a4e2f26a3ed3cbdb8e83127c0fb4e
614070210|earthgrubber|fdb64ac2be45daeddc0ed93c6ca42e7443a11ecdf7ba655055f65929fe2d7996
521575069|vair|869e5c94188e16dd1b6b6e0b8803c786111555297103fe0cfbe574bc4c6971b3
792519349|soliloquize|befd347c1a376aecfe2a3d211cf0a059fcb8c6ff173c16bda97ebff053d76894
489971330|prewrap|cc7ab6831d5c1021016c63ef3ba5b8687fe6e4c7294a711cf9589f675f63e4d0
771297297|torture|fd715588794427ac3cd7121401e87eb07cd4dd6074c28bc772513a462553565c
230405817|spatterdashed|80c6d0759341cf3ba150e1d2f97aac3bd9186fda2b2cd64c6d6cb741fdad65ae
856563635|notal|4c5f8ecbe723024fa2ce687f98b8f3939955a64e63b88bb14072cd2b55caf1ca
724903446|motivational|e8caea7d4fb948c00089bf3f4a42780485eb4f942c8e08874fb70899121f0aaf
149908574|choragus|b9ee318c7a6caf5a4f7ffd8e4ef8864e65cfad3536cf8935d3fa1082b7eefc76
725654882|unstupid|757dd670f8cbe56f367eb789290dc7718c69052add30328c7ce19be0795c7be4
643607052|magnetist|d77017ed3bbf35eab42c94d09b20a26c712606d86a1b4a831791e81e3503cb44
120491042|oleocyst|9b35b58dd13c53c72b5fcf0e38fa0e7584175953f771ef598af27dab1ec32bce
364610524|Ginkgo|ea2bcb16ff8394dcc47ce000453e633d4799920406aed6c696f267bcbceb9000
468140252|Andries|5805fd7907b2ccf167caa183b9cd56cd00d560e47ba4f2f6e10746967a391728
925109950|garnisher|ad4b2b9a6b0ef1f9d552b7092fa5ae97f093b2695fb99df8f91ac31fa678b5a7
380516760|paradigmatic|7d9f035281c5b76f34ab5a95cf4c11e172fa1a915c73756da54b4ca038321d65
842462345|during|d1ffead75c88069d8cfaee8d1fae641f6de7e588d0da15d969ed11f1e9f5ae6f
555960760|restricted|a89932cd867383b043266493bd42232621f6ef23abec7eb9c9ff873e0dbb3bae
325100804|Philippa|4524f6f2b224e8cdeec724583522e5f7378b38890be5ec1486daccd6c12a30a9
843963427|diffugient|7e66cbaa0aa61e27240c6d2cfa70d676bf0a48419c2dd98dfaa7d6599158fb4e
845693188|bepray|da5ee3c7ca6b8ca2aad58c14fbc0db9fe527b6d7a15225e7f54150b23d250201
135918807|straitwork|5d3478d10351ac4f0853ea5de5be93f099826a490a227480ab7bd5fbd8ff0dad
511691964|lordlet|96a2806f268e484cedd51ac8750950e9bdc3f9602dfe33e238ad09f9a2e9a8c4
324648481|unblanched|91c9b26a5894eb89c57a80690aba2a376f7ff396fe7a92477763035f8bb376aa
574803734|unicycle|797055d43ea66bd57159cdaa262b59c28ecb784e0b4bb35b937048d98f36cc04
470487691|Entomophthorales|256cd152291502da299372bea95279fc3917b0fb68e63be3caadaf53043b97ff
699087641|uneducative|f3a17ea47b7c02da44d3cbca4bb055cc0d5f519846985a86883f5f66cf5078cb
670504241|periwinkled|81e7ca5d009eab599fc939a7e6228b6a7572c2dc226ee12c929698f0683b1f7f
208071236|Spaniol|b8e53b1742ae137e26d54a1a652060d224d9c2c654b97449ca7b11f6e8957feb
272729491|feministic|bdf16c0b774e39858d0f0e05f20cb4ac12fe2e569d6b8dad29303b6bccd83c80
601973213|nitroglycerin|e35a6c3f05624fac274d9cedbde8fbc49e1c2a8fcb88ad1454f21464caaddf0b
967824159|acme|e8dfab4edb532279ef5c74fa6a333e1f8cbd10cdd028bd4a097eb03c980031ae
176810443|wharfland|c6ceab7c74fab30f955738187940ac53036674ebeedfbc1b392f4c3bf206ddfb
262228872|intimater|68bbae0b4f36b82a4348650c7065f34a907ccf14b77c022d44a84fd3955799e0
757907485|perigraph|dd194c6a2776f04ca7f317964470481da62d6a8cef91c5bc388e5459528e3564
286863195|Agrionia|3786bc7ad6f8cf950fa633984d5088d1c2775d722413a8fdea56500149c5b25b
348417321|marsh|d627516781c5317e867b920197234c6bce038908240816c1ec6261afd6e36468
400293075|Satan|851768f02eaf0d88d69c346cbf757ebba53036506196942e9fc57571b15ece2d
745491042|meaninglessly|ca04161f9572257ab9dd45fc642f02d600de5920c7a194daf1654905292290fb
337422122|Lehi|a52e2bf6dca9c892e8d89df5c865b97de262feeefa7ff20e4eaf7561c10f44c3
801577143|clitoridectomy|b33898b44ac45642641518ef3f3654494835d110226d6c31d05ddc1a88471dd6
708187505|peruser|bbc7ba16a45491379e79dd0fcf376e3c1aeec46bd4eb93c81056ad77c9bacafa
725940379|frier|375e78285b20a639ba824bb1551a04ac732a5ae92bd8e392cacc7aee18a826a9
999864824|Atacameno|f6551ad53ba34c34353e5bc1fd9ad4647cc57405bca4e9cea9d38bcc4d44a30e
818123827|reptilferous|6df4c0a42964dee81f5a6c05d6691de36f6db5424b40dd4349c4feb92c3e7911
265441452|recuperativeness|ce5967941cac23909d663b53ead5386623a0500454913f9e89cc865468dfedc1
