,File,AvgTime,Size,Algo,Field,TimePerElem,DataStructure
0,set3.csv,0.11053487966667792,1000,Insertion Sort,key,1.1053487966667793e-06,array
1,set3.csv,0.11218087033334238,1000,Insertion Sort,data,1.1218087033334238e-06,array
2,set3.csv,0.07014512833332749,1000,Insertion Sort,key,7.014512833332749e-07,linked list
3,set3.csv,0.06368100266665049,1000,Insertion Sort,data,6.368100266665049e-07,linked list
4,set3.csv,1.6000666657115897e-05,100000,Binary Search,key,1.6000666657115896e-10,array
5,set3.csv,1.6296000012516743e-05,100000,Binary Search,data,1.6296000012516742e-10,array
6,set3.csv,0.048431738666674086,100000,Binary Search,key,4.843173866667409e-07,linked list
7,set3.csv,0.01030839433330281,100000,Binary Search,data,1.0308394333302809e-07,linked list
8,set3.csv,1.9419333322427217e-05,100000,Binary Search,key,1.9419333322427217e-10,tree
9,set3.csv,2.2501000027356593e-05,100000,Binary Search,data,2.2501000027356593e-10,tree
10,set3.csv,1.812866666265715e-05,100000,Binary Search (target not found),key,1.812866666265715e-10,array
11,set3.csv,1.9266333310952177e-05,100000,Binary Search (target not found),data,1.9266333310952178e-10,array
12,set3.csv,0.09462804566665757,100000,Binary Search (target not found),key,9.462804566665757e-07,linked list
13,set3.csv,0.11204634400000184,100000,Binary Search (target not found),data,1.1204634400000185e-06,linked list
14,set3.csv,3.6240333315618045e-05,100000,Binary Search (target not found),key,3.624033331561805e-10,tree
15,set3.csv,2.1449333341176196e-05,100000,Binary Search (target not found),data,2.1449333341176196e-10,tree
16,set4.csv,0.1085802860000058,1000,Insertion Sort,key,1.085802860000058e-06,array
17,set4.csv,0.10831426233331361,1000,Insertion Sort,data,1.0831426233331361e-06,array
18,set4.csv,0.18272863266668082,1000,Insertion Sort,key,1.8272863266668083e-06,linked list
19,set4.csv,0.05391490566667775,1000,Insertion Sort,data,5.391490566667775e-07,linked list
20,set4.csv,1.5082999993865087e-05,100000,Binary Search,key,1.5082999993865087e-10,array
21,set4.csv,1.7995000007431372e-05,100000,Binary Search,data,1.799500000743137e-10,array
22,set4.csv,0.01013091733333719,100000,Binary Search,key,1.013091733333719e-07,linked list
23,set4.csv,0.0790118083333482,100000,Binary Search,data,7.90118083333482e-07,linked list
24,set4.csv,2.5745333346094412e-05,100000,Binary Search,key,2.5745333346094413e-10,tree
