key|data-a|data-b|validation
788263758|vengefully|impoliticly|2eaef89fff4741551eef9f2d86b5f5567cf70ec5c0071c38bb5393f6dd526ef2
329157368|bonairly|mesoderm|40b24b1ea6e75099badb1942ceae12cb7cacf99c574fd05e6ee5dfcb672ea6d2
698407042|paradisean|nonsolution|770e6f3f2becbc7c3a62c856e95b4078fc178e82cf6c64438e6de1853d1350e4
183086828|celiorrhaphy|tragicalness|88deb4703817f7f66e5652f3b694c40aaf56f8df0a524473b22ee4c7f5d14537
884095678|unstultified|opusculum|f2c403f956eed2b877436d5d658345e1ea800d4431bf6cd92661a426fbef16af
840923138|misoneism|sanctimoniously|664228909a2f8b9741514e10451c1ed8db2c2c915ce2d456a181f2eaca7d6fe5
709698393|Dimetry|Otuquian|8ec6941096dae96f8a906f8f3ccf696f6cbb2e4ce182899464b8073ba971b792
783033752|aam|Tremandra|3b3c7a39338788a05bd6b3d824275a4634d9564b66ad1cf8104dfbfeb81773ea
206368463|mucronately|amusingness|8c0188f5d45dd6ff1b218c46e4460e1f17e72c6604fa61e53bc03a8b43223810
645070875|witchery|polymasty|fcdb825133806bf62f775f12ebc623c89f03111797cd67a120d58ccd238f230d
577587101|pickover|Sethite|c828c2a023570dc2453a722a6e825eb78d29920dfb353aad29057604e8c65837
392561805|newsmonger|nasoseptal|9da654ac7e65d2c10dca8100a472237c5570ae06fbbb9da102046da7107c4202
222176398|Sarraceniaceae|significator|4f9b4746e75d72aef4ade358123ae132d3f0f0da6631bf4472efeac65d877fe3
955570247|consort|wally|14db2d79befcd5e9260a997623f190a0c6ecd1eb001b500000e2374531712d60
139246614|kaleidoscopic|theriomaniac|ffc7872d089fe7276b817717c218653673dbb6f2b91c4bf05b1153452a454ab0
398493442|assigned|Kansan|c77e0637edb4726fbbe129831b39ad2bc3c10023726ea088234025cb45284604
809527573|sherif|wormless|fba924646cfa2214d1c23e3f2df51401e075a60324f2017fb6432f002067f1e2
104153438|galluses|yapster|5e5cb2dc445319189a1201d0253ef65ede4d430087d9ed08e9ad4b9aa506b4a3
654125673|pik|unmassed|71afc4744742511fab54ffe1cf5c411d3bac7c4603437f541d9b9eca743f652a
946228329|orthoepy|platinization|9cfdf678214c0205160a4f536d17a3f7cad7e786e2437cfbcc11e9a9b16722b0
146386262|osteosis|townman|239f833ee13a7c2dbe49f38fff6824c3cef0c93fef63131daba38aefa100f6c0
998230909|thoroughbredness|dwindlement|3505a851bc2299c2e585bc1019fac219bf31238e50cc1547a0ecfc05fef022ca
376004609|megaloscope|planariform|83d36d91ba6f33a50dfcb4e55bb9c93bb00bf98b0037f925e8811a91ac1c1ee3
454616000|demipesade|macrodactylism|28d66a599f7ca981cbbc596149d568c4b81755f48b4eeb5a09dc29811468283d
978478442|coracial|hick|3d3186fca7db8151cb0f235188d002bb1285e4972084ce2ad7b288c0e4a1b4bc
314783111|velocitous|hemopneumothorax|28f24b088b3d261519ea588caed4e7f67c36bf5ed3e780338a53dd2322d856b4
579345979|Mastigopoda|inequivalve|65b7608a0d7e29ea1d7f8931db7df13dff98034a55cb9298a3345643205c1b7b
737140276|polyprism|botanophile|7812cc78ea48668ca3d6a94279f962a34cb4f307b33286a28c5b07854a81743b
845047100|prayingly|chylify|2cfe567091a69dd3f55fa9a5aa04d8c4681e7f42c0155c08445a0efd9fdd81ab
362455025|superinfuse|snouted|184a9cf8f3517bedfb6dda551a8f9dd09a188e0dcf3a76adc3d0f8317eaebbc2
941172509|hydrographically|hypoeosinophilia|1e3e827c64642331ff17425208e65b4fe694de39f40f994f88e25cca627f5101
977403070|metachrosis|Leads|3914f8988c7024b8029c5f5e0317e3b3d613e55dd0adce9cb5dc1e1daaa17c91
575000816|trussmaking|noneclipsing|b1f99a841d970de4d3e6bccab629b84b51c54db68f06b0f4e99929adf97e5bdc
155068314|sonantic|blowpoint|2a8d9bce273df79cfd6510e749567eb1078435a220c1ebc1bd37ab69d07ba28e
904454011|monachate|episiostenosis|f3780fb3f4e4036ea37ab24ab4df0679577f9d25952896b62bd0dcdbb62b8826
820522533|noctambule|pseudomerism|2d83419514833c3ce58dbd78cc7e3862690749cbddddb1a57e4dd86c0eb926f5
295909527|cobblestone|Neudeckian|e927a50b73c03a12edbcea587b75cbf789642875fa903a044f222a5f1e5f6d60
939111472|iridoncus|heterosporous|a7080e4406ca5a4285e0e890ae30e596f44ee0047f4288b23df50b4b745b1ce7
673488983|coom|paralogism|0b90e35611cde7f3c1ceb9ce37fafaee49646db7d3a60806e69a527957474251
656778590|lubricative|doorkeeper|6d0dcc49991480d6711f5568a928e8f570f6c7a58fb0b85be1bf80d52e6ae490
247396824|figuration|discerpibility|4292df327060bfd52d3fbea652f1dbcc24457d77415f357f4464504cf486f99a
684745511|trailless|Sadr|7c83da2f81de7e52f5a8a762e8bf022e6e71dff2493f0309156316c19b19ba31
438074905|Narendra|opisthosomal|31d3ee2d06a2e2ef3bfeb0da016d9c8fb2728752e130b3e4309c922041c8eb03
482062396|octadic|perula|e41527b8febb25c3abbdb339a7eb5098575c146fd9bbbb407cc1dd39aa95f4bf
740034401|straky|unexhaustible|edf307c13f162371a0153f825e976d50d10b232c4d1fb6cbec5bc0f938efe2bb
622094566|Acrab|sporicide|d3fdeadfc01d0c447d77bdacf09056220eb54dcf52dfea4b88159a69918c87c6
265233996|unintercalated|expromissor|426401f6a841243f18daa058064cfe2eff3f210adc5267fc89900de654ef6fa1
760958721|harmonicon|mucocutaneous|a81f5eb3319b3549d2628290f5957e26cfa1f63c07696d53300306356bb958f4
863578322|flaming|apjohnite|2e983fc4d8f2bcbce30e9b093f3a4be431f19f8febadc3c06636780d9c4e8b84
140608127|Varda|Sepioidea|59843ff448262a8a721501bba85157085b928fbac529859785bbefca67644954
903081479|antiacid|depilate|c41e05f5e52c664336e56a3699abcc32ff8f85234036b70da4a5dac005b5dc71
864304248|ungeared|glebe|3f522549694ad90e79c817a9eef15220f2ce5d7ca24132f7cf7be0ee8afba596
535736571|incogitantly|electrosurgical|295b2f24aaaca55d1b2c4d3cbad4d8b264779d1b0db2d5d3ff3eb193e5a268da
706008621|crosslet|gamelang|f07b5edd5a821b34250ed8418368e7b79d000138fdbf2bb39b9f653aaa5b4231
885707984|plunger|metapneustic|969b438decef4a82c7e520032fb1912a5ffefbe84ce151129eeea0b9b832dcba
893485453|miraculousness|talisay|484de8efcbb817eb71fba3fb1a1692cf53bd5bf029d5e055e2223c3b43fd3511
985941679|inspirometer|fireflirt|1ce5a97cc9089e925b2862f5c86e5c3b46825df0d2e21d6304d4df5aa12b1380
339179082|viziercraft|rousting|346f1d3cdf3d8c5ea8a43ccbcd3a0a7dc9f1945f322815fa19355ea9085b59d0
167681529|hypercyanotic|chemotropic|6f5a2164ae2dba5c8daaa8110760d1bcfe3aabb4f407975b2e0da8cc58683ae5
