key|data-a|data-b|validation
332606905|perihelian|quadriennial|6048ac38ac4ba5fc7e05a5e2744a52fff09f01571e0a8576905c29bf01ee4b8a
741104218|leck|legendless|3127b31240e77ce857447c43cc9de12981823808ea86be3e2d79639e61c53489
810678310|runelike|semilong|a34317b6d0d4d6848e9046a6e3dcfacced81b85b2c695a6ed5d84471f488f69f
957832588|halfbeak|Hesperides|99e6f03ddbda0d33f6f4b51e89175e7cf9ef44b1d9a5ce0f43a687304b0a79d7
336530742|ferroalloy|merlon|ac5b90ba5bfc37162e7ed4f4ab77b8c5a785d016e4aa099340054ef781ca20f6
458237357|dressy|bowlful|68a32d786af8ee2219860b4f5f6d92ac8a917cd6afeb1e5b2a527d91130db586
621373630|generalization|garfish|5da46a50df02214a65bdd434cad2223d930f4d20684d6a9268e442915919aec3
180877065|nonsatisfaction|parhelion|c8d826a4e8ee36674a58a49867a3b42fbe1f84ad0c010697c08054f45d15571c
572709371|himp|beaverkin|e8c02a40183663591180d89d6ce6b92c2c97b6eb653110664ce0f9f7c569659a
213173246|unreprievable|saclike|3aa5b6d26469835a116e2bec60f8df729937d083365260d93d7d0bb5d5283ca3
134828540|coparent|tang|f9334cfb4a84780884a94b13a3a69a888699a28be0604fd2099cd6e74dd19841
285236004|bedrivel|stomatomycosis|ea930644598540ec24cf80ba68d4ad3c15dd6b49fe61c8e4fc14bd7368b0911d
161943767|whittling|unsewered|8ed49a5863239e431723ce7d7d2b91551407d87a588a859dc5cadbdf3454123b
859536946|sizzle|elaeoblast|d45a4ba31bf8f397dca9d0d2ccc0a99b98899d9647c6a1fb55ec32d6f316f9cf
925427024|osteoclasia|begohm|05f0f90c8035690ac362911d7799033a1948cdfe35b46767639114824a2062ce
496885309|reekingly|photometrist|b425cade27b0bf6062f99d773773b2480359dba18be055e43dc77a8b1344dc47
732502073|skyish|platytropy|aa1043133156bcb5fa931d770bd541ea8370751d662ddf7b189ddcd6b99db7f1
698741156|antipuritan|augustness|4bed72d46086ec09560fdeabe6d26110b2dbf0aca6acf46e6b3a3612e3578346
