,File,AvgTime,Size,TimePerElem,Category
0,set3.csv,4.330499996285652e-06,100000,4.3304999962856527e-11,random
1,set3.csv,3.980300016337424e-06,100000,3.980300016337424e-11,duplicate
2,set3.csv,4.114599960303167e-06,100000,4.114599960303167e-11,not present
3,set4.csv,5.282200027068029e-06,100000,5.2822000270680285e-11,random
4,set4.csv,3.557699983502971e-06,100000,3.557699983502971e-11,duplicate
5,set4.csv,5.7060000017372655e-06,100000,5.7060000017372655e-11,not present
6,set1.csv,3.406899986657663e-06,1000,3.406899986657663e-09,random
7,set1.csv,3.2064999686554074e-06,1000,3.2064999686554073e-09,duplicate
8,set1.csv,3.1520999982603826e-06,1000,3.152099998260383e-09,not present
9,set2.csv,4.269099963494227e-06,100000,4.269099963494227e-11,random
10,set2.csv,4.307500012146192e-06,100000,4.3075000121461925e-11,duplicate
11,set2.csv,4.535100015345961e-06,100000,4.535100015345961e-11,not present
12,set5.csv,5.280300001686555e-06,100000,5.2803000016865555e-11,random
13,set5.csv,5.901899976379355e-06,100000,5.901899976379355e-11,duplicate
14,set5.csv,5.021700008001062e-06,100000,5.021700008001062e-11,not present
15,combined data,5.651799983752426e-06,401000,1.4094264298634478e-11,random
16,combined data,5.671400003848248e-06,401000,1.4143142154235033e-11,duplicate
17,combined data,5.996900017635198e-06,401000,1.4954862886870818e-11,not present
