File,AvgTime,Size,TimePerElem,Category
set3.csv,4.097100008948473e-06,100000,4.097100008948473e-11,random
set3.csv,3.478999997241772e-06,100000,3.478999997241772e-11,duplicate
set3.csv,3.926799990949803e-06,100000,3.926799990949803e-11,not present
set4.csv,5.8077000176126605e-06,100000,5.8077000176126606e-11,random
set4.csv,4.524099995251163e-06,100000,4.5240999952511625e-11,duplicate
set4.csv,5.2176999815856105e-06,100000,5.2176999815856103e-11,not present
set1.csv,3.2960999760689447e-06,1000,3.2960999760689446e-09,random
set1.csv,2.2636999801761705e-06,1000,2.2636999801761707e-09,duplicate
set1.csv,3.2458000077895122e-06,1000,3.2458000077895124e-09,not present
set2.csv,4.465000029085786e-06,100000,4.4650000290857863e-11,random
set2.csv,3.587099990909337e-06,100000,3.587099990909337e-11,duplicate
set2.csv,4.245899981469848e-06,100000,4.2458999814698475e-11,not present
set5.csv,5.797500034532277e-06,100000,5.797500034532277e-11,random
set5.csv,4.285299974071677e-06,100000,4.285299974071677e-11,duplicate
set5.csv,4.861599973082775e-06,100000,4.861599973082775e-11,not present
combined data,5.988100019749254e-06,401000,1.493291775498567e-11,random
combined data,5.23399999110552e-06,401000,1.3052369055125985e-11,duplicate
combined data,5.914099983783672e-06,401000,1.4748379011929355e-11,not present
