sequence|TLEN|data-a|data-b|validation
0|22|epigrammatism|pastorium|d4a1112db9fef6032212d30cd6b9e8564abc74f0ee4c6c10ada10d4b4e37d8f6
1|25|intermingledom|periostitic|35d0ef00e331f8fe034a4778cf0d9debb102abac6ddbad284592f29805c93ddc
2|11|grace|amylon|1e79aabfa9b8dc39f0c35431725bec94847b8d0903528b00086c523a73aa125c
3|24|hysteroptosia|annabergite|c7f76c7ace422a156cc62c368bc0ab53665b4fbc708cc3b0945ce5abb3391812
4|18|nonleaking|woodwise|4eb06d7f790978db7fec4980bb4d14e6d008c6c8f7aeac0b4cf43c156fb71efc
5|22|Hocktide|foursquareness|18b0193eb52b90c29a5071c807c57fe15d786b1c580243bcefa43cba9112e7c0
6|22|seeableness|watermaster|7a0e017264b466f040f3becbeb3e627f141cd0f8604c3cd1f35a766c85519dc3
7|15|bathos|digeneous|64c20d5e7eb3b616d8ee671a87026ee6c97151b72b6ee9d31e500f2263c64b56
8|10|woe|eyeline|4fce3faa62cf45b8d47944d3f8e22a4dc159ead8afbebcefca6d95248bebebe5
9|21|uswards|autophotograph|0216a8b3cd79694fbaa9cc69e3bacec1e1b85406b54fcaff15c121d0a281c890
10|17|stummer|Babylonish|075679c37dedd46b990dba830c1ab929e070df106bd210d35245d7e90785b6f7
11|18|smeariness|deadener|3a79ced908baa13977a358b1efa25b67705f9bb6543d7a8c2e1f8205122f5c12
12|20|insightful|pseudoalum|67dfca438193adbb01216ca96e77a7731c6568649da8a9a0d07ed71428f0e8cb
13|19|Dalcassian|decennium|d26a0c7aef671396a7ae09d9117f1320daec1a64b3bc060fd0a0d1093a9c2ec4
14|13|anger|clausure|181a5330d252a7eb7ef230272b5cb0261e9c72c3100dcf7ddbdee3d3a0e7b7f5
15|21|unsequestered|proprium|33736ec9d6a2c34fb1e0a11606b1c4f26e15d024d0531159ff4a135fde728ef4
16|17|acajou|nonvalidity|49dda90b264a644fa23879ada135a24275788335e2018ef0e2ad15ce88a52de0
17|17|phosphonic|apodema|15fd39226da0e1d97c64a2b6a215455c20d12fe227fb90e783a3f350c47bbebc
18|16|marginalize|flare|fda143a932e7215df8cbf6e70d31fcf1c7233d372c0f44a68b3c0c02cf5f68cf
19|17|quadrivoltine|geck|d372acfb38c0201543b6bb905ba5ea48a57d69b2f30595a77251991ba899702a
20|15|crevice|badenite|9d4487bbb59378cc718b77d3ce71b6a1bb0a52e63f44f181d89bbff8fb562834
21|27|organogenist|splenodiagnosis|f84bcb3c34eb4aaba8ec4eaa15b949714067e58e51c2c8ac3b882fbf85a8292b
22|14|flogging|bodger|c8d416fe4111350946f27d81f87c62ffdaa56d020922d417687b6ff0a3bb6bcd
23|16|chandi|ophiolatry|a85faabc6d9414b9e665e42fec1e74afc2b6bec5258d42e09ba474bdd4b000f4
24|17|heater|erythropsia|1068758ba75f7027ffd3ac4563b8a4196a73fb44509bcc6d230b3ad2ea12b162
25|16|fitch|deoxidation|c5fd233dd278be78adcfe71aab964c462dea62f92ee16b0157f70c5634b05cc2
26|13|agminated|sett|0102cdccd6d9ab7184671ce1a3eb1b222632408629209d78df79e2ff1e69e624
27|12|kokil|convoke|9fdc64ee523f8440e93c48605800c5748a388fa9e1cf5af7b49dbe76ba733a58
28|16|consectary|acinic|1f4e770d06cd26a1bfa6d41c28332b21d9c0afb0381494e4a356916e2996fc66
29|18|phalangitis|langoon|f9bc6d596d1be1b06a3433bda609abc59ac6c808d0d66aad446a41697fa19eee
30|20|grocery|unfructuously|ef4d9b4043b71b6882b0639b62e547aef2a3e4fb171575a5f5d4d46c00667755
31|25|catstitcher|dearworthiness|7b5941cd6404b27a060577fb5a953a17558401071bfcb630d91fe15c3d2ee146
32|24|polytomous|unpopulousness|5479a34808c692bcbbf4a97b7a17b8e0b6bab75aa7e3a67beb020cae027263dc
33|25|Plasmodiophoraceae|coaxial|190870029ae5736ed1ef08adb02099006b6deaa4b61438c5e06a01c87d42f4de
34|14|laryngic|sinnet|d84827dee492cbb44145964985156d129ae424b0520fd37ded5e9d267b4bf0c0
35|22|hemitone|petrosquamosal|557233a1e59caf37bd12d514da2b80677c6e76b3b41036d13a2308005acfc6f5
36|15|reroute|tendance|82a1f152e6071a9ffa71476aa5fdddfd82cf6b9100bc4465662fa438731bc939
37|15|urethrogram|Milo|e5645e2f3490c1ed307d20251ba0c014ac3ca64e49e982c01d3e6114e1e4e87d
38|29|equidivision|surreptitiousness|60a4802d1389c9c020a537a27eb3f14cb5481a749f52af0842c5dcf338e82893
39|18|spheroconic|outmove|a4003b4ee2b7a275f2fbc7420c54f77831295820fdb13747944f298ef44c875a
40|15|victualry|soodly|c39aa9560227430d88c71b2523aafa5ee5d2abd5206bfa1837631ce955f156a8
41|22|legitimism|undevotional|b5fcf734a69ddd2ffb307c82ca37ebb872aa56960c7f5c3e77f288759e222af6
42|23|guilefulness|coralloidal|f19ec628875018d5a0e3a6ca13cc3834426f4a89df90748f064810d6054c8cdc
43|21|sheepsteal|treespeeler|cca889c7b3ec22f163784a7e9f511ee3000dc1d40a4efc50da1ceb2deec3bae4
44|13|dehydrant|vasa|2990b29a3282e03c961731c15abd2a5c3b5b53e445d7f17f61c10969e986d6ec
45|13|uhlan|rinneite|33c9e0a053e066a669cec62a481e974b2734f60e1ce562250ef831e433d969cd
46|15|treehair|whyever|2b8ee0f7399e15759848fb78febfb0aa7b41253a7990af3b0c1f1fb04544d8c9
47|24|Spinozism|anthropophagism|22b9ccc439fdc1424f6cb1fb85c13b1812ecfe356290878cafc2f9c6460bfb00
48|15|opener|Macedonic|38f8facfc43b1d613bfc0761b1102d77b635e024393b576d27f6897d00418a92
49|20|unestopped|hygroscopy|ec9df03092061f1e07f4071810097632d052d29e0542ccc77d690767cae7e5ae
50|20|preceptive|unsignaled|a1656b35297464c78e87c930b69a95d8aa05be1c85e81387df77b4557493f4de
51|21|proselytical|eutectoid|06c716c09a7515d05b1b378fb10acdf020f26857acc98a78438dfca1564717a4
52|18|Aiawong|hypohyaline|2ea04fb6d5ba6cbeced7ac87dfc0f5b8aa442bb7f7e2233a057d07154c206485
53|22|paleoherpetologist|naze|4a1fc7a714daa6f80451caa415ac701412684c6d27db6bb5e02f570f668e4d7e
54|20|unipolar|twinkleproof|838ca1a7b494ba9c016556671f8dda2c96cd4e3d41790da088b27c24614b95d9
55|21|immanation|prepositive|e31b5c42e48a04b8d6c5750203cb3c1f5c2cfc4dba2120f81b57f8245135a2da
56|22|pervulgation|midsummery|ff06e4b815b6454750549f9ca4028f80fe3c63fe8d91786568079a9d1d0041d1
57|22|lealness|tetradecapodan|cea2c6710b3981d85198f146b3b08593ef6d7f8cf8909b6694ed403aaf2abc27
58|25|trustwoman|hypersensualism|ea358cff71973be54d56596296f2d3e4e8438a8cb6f27a1dd96104eb319039d6
59|14|Squawmish|scler|a71e5927ccdbe5beeaad2556676d3c94d582c1cc6166eb475b50c2ae715e6ac3
60|20|pompadour|trombiculid|a3cceb20e36b12f0a4f3aeedaccd62044bb73164069428865279065d595d3561
61|24|tenontography|dissaturate|4ac72765bae79c7e05835f6446e93a68b46bd3a218d37b6ea9633cfa6b2e0996
62|12|rubidic|warnt|2051d45235de8279622ef271d48956fbaf793eced8710c65c0a2faae463b5a2f
63|22|phosphorescent|morricer|b9d041f0a7773fa29945dd5467a4855ee64faa6c22e5d6267c3f882e5ca4d7c3
64|15|afterswarm|tawny|f5c26f616e888f5f5f49b1846367ce71c75a6f013c1549bd8cae0e96ff41f444
65|17|uninviting|Kirundi|6c98017d6be98b229bcc402abe20022796877ebbbb9fa7818001a8e304882fbd
66|15|unhoped|noseburn|69765e6aa57c2822eaa52cb9863211aa89a011eba9402bcd88f115c312670372
67|19|academic|peripetasma|886f3e450dabeda02e2e796765fc915d0e897e4baf1da506d5593e6a7e757719
68|19|prepolitic|untrusser|6766db79cf94a1847dfbca8b9ed611b51bd52e6f1151b0dcc082b1aa3e75c91d
69|19|paradentium|Thevetia|3815728efded173c4b72970b3e6b0556dd1f388ac103d7f95d59c7f9ff70824d
70|23|continuantly|monocentrid|ca91a1353572632f48845f9038cdd9f9faaef883e3726af84c233e691b8c6674
71|22|polyciliate|xanthoxylin|5e2183e667ae41afab8f9c330632299b74786444afccb7cddd21c378e1214969
72|18|widegab|apomorphine|26b88bdcc47a400019fd69ebc795556bc53c1bafc948fa362369312b2435eec3
73|16|tipsiness|mummied|c1b2d4cbf75b22a771c4bf04002031244616930c5702bdf6143cd80bf293687a
74|21|presurprise|buffoonery|7062c7ea48754e50092436dae7aa1ec7f16e9ba73bac7d2a6f372609d36eb487
75|28|proscutellar|tetrasubstituted|36909e12b9b06e86a9fd2c196d2ff7174ca1fec5d61bd0dc168a96ce1dfdc8c7
76|17|clyer|collywobbles|4fe797a452f79b9647bc808fb2f4b6a07c41cbce3f32826fd87d2ab047e1a725
77|31|Ostariophyseae|nonrepresentative|c5e51f2f86c099dda45aa7a639dbdbfba532c8a92617a63033d4a42c0edc499e
78|17|dilatably|biscotin|9d7ec15e6a035ce94f3d5316b2ee61e3f9964ffd8548b91d2652607985afe37b
