sequence|TLEN|data|validation
0|50|polygamian xerophytic hematoporphyrin methanolysis|a30b5ccacfc3d4c2c658d138c77b7fced058b5b1df02587aeac8fd15d7bb9f70
1|36|horsemint stereotomy warding limeade|103b4d900c2ea5aff7e6a1d5245e0a5174abdd61feac5ee36fae2ce44fd93a63
2|30|radicel artlessness tou sultan|113975a09cac5871f8ed4869cb83c0f6c3947053c67e454683af05a0789eb7cf
3|54|plantaginaceous isocamphoric intercondylic Biedermeier|5a434915f7cb075198ff02fed3887dc3412f77ab86293e0159107b70edda94fd
4|40|semicoma cawney Tentaculites wreathingly|c0a48f6d432b0fa3c6b0c4d658d0db9a90332ca970ff160b9df439973ff8a0b3
5|41|ichthyoidal harassable pinjane panomphaic|21f7510780b69530cc1a361c0fd4373648c2c88cdb1a442262b56dc34c1fc66a
6|46|tartly presbyophrenia photoscopic prepronounce|13bd140d0a56f779f1ac1eb99afa47513945ada89560187cc61e5019865320aa
7|36|pluvialiform surmount juniata mangle|753967973cc7117743882ff4c049d1a4f32083b04408d70b29ec17c9ae96d35d
8|42|grainedness tackingly Delphinius burggrave|70938cb0537ab8ab51ef87324c2570ff3550eb508afefd3cff8fb21ed3bd9892
9|41|inducement Centaurea manifestive walkover|3456e29a11704ad2f629949661eb6ecfcc00d48c337539618c8617fa0d66ce9b
10|43|Mainan interownership betrayal semifloating|715c99ba75a4106d9dcaa53005d804d6ef08a0637f6fcece62994d4a7e9fe2ff
11|42|electroballistics wardite boozy horbachite|89df81ac34a6fbf9713825ce6b9cda5aa6845fd8ede8070fc30e362e61225fae
12|44|isthmial trophesy circumundulation pressible|696ad9097e58c973d08e8dd4404cc18375bdb80bd6fc204884414dd0e5aa766d
13|36|marmoric residental myopathic ranula|3efb3bb6694e6dfd7a41365d70fc801fac85723b801e0a34a9a2d4cd69f95a24
14|40|beneficeless infinitarily acold garroter|f2efe9e02a08257a10f3116957cee49f556dcb5845805ad33f345410a27185d7
15|43|lorilet intertanglement argentous pointways|fcc61017d26e755d00414eec5deddea0b7c4e0c35d6ef0cc0e57fd801d83a5ae
16|44|houseline cataclysmically cantata symplesite|57844e866a81e031fabc22d5c71427570798d063a39e0a1a7aa2340fc45a969c
17|39|tablemaker superficiality swaver snelly|7711143a3480926402e6eb1adb6edcb4befcca62a4e40d50db3802fb2399c4e4
