index|value|clen|ws|data|validation
0|455137|67|5|paramorphine incumbency hyoglossal peristaphyline untellable rumple|1c7b17706d2c518dd5a02e81b0e257bf47f1f02ced65942f8dfd42b21f8fa42c
1|832885|44|3|figshell alexipharmical thiophenic hedgeweed|a9429002d51ee4f114edd6062ac9a8a42203c9c128b829fd076687712d48bd3c
2|176731|40|4|fimbria pinchcrust Campanula humidly Mwa|e958c4169ab920b59ca988b83438a1a939bf10bc7be0b15711e36f6edf0b908f
3|147264|38|3|outpouching Danic reflagellate feminie|41fbfd45e31d497ad8cb7d8f9ec477909c327ea6fc2ab517315393d1837485ad
4|608951|42|3|Cascadia electroplax tracheal derisiveness|c900f3f52c477da5c49c1ec011aaf519adba73561179e0fd705c90f8f3084b2b
5|257132|50|4|apogeny anelectrotonic sesquibasic berend ligurite|d9048313c6f12692bcabc78dc23f6c0dece6dc201fdabcbd5df6e43782e21a82
6|421734|48|3|mechanotherapist apotheose salubrify Germanesque|76f964a1943526fcc6c128c6f0da72b36850a5454215446adbe0a371b790a132
7|561000|62|5|ommateal statable inversable coregonine jurament specklebreast|e535436c8accf5f5547b4b5c0b3b70d12bb829d02f601fc645abefcd88007115
8|272109|40|3|saxicavous unchatteled Alcidae redespise|3074aa7d740189173dd83a04a0d4eb87dbd3c7b836f60306de0f2c6dc0cbb8f2
9|947499|44|4|squiggle demonography trot Byronics Schedius|56eb64858a912538aad61fd2426e8f99aedcda3921c8e18c3712467d7b5fa795
10|813753|74|6|prothrombin disperser Maranta lactigenic atechnic pseudocentric nonstriker|71686d512730724165978f6b6ab1c2a93f59f5f8dd07c330d492c3d244828808
11|707017|69|6|linguloid preaxiad spermogenous reblot posterial basifacial anaclisis|b31d2f1ffde503e7fe74ed771508f3bad27ee044fd6749eaea017d7cec2524b4
12|271511|59|5|unsmelted mouthable pentanedione diphenol tomblet hypospray|ea9ccc00c0161ca899c9e7aaf13afcc286b78bc7b04a677fbafb4fb124a35ba7
13|907375|44|4|milkily rugose budwood remeditation Lutrinae|f94c525a00a00648d07326fce3afc5a3f3ac8673dec525ccb3c874c420b58318
14|855710|77|6|lawyeress mattedness unobliterable floodable hoodwise desmology architectural|8154ffd774a28b132ae9416e967c31a200183b6ba43c1f382dbe9ce44cc86013
15|151986|61|4|coracopectoral olecranial Sabathikos reboisement infracanthal|94cd7eed82e80181d5f9e523e521eaac3f249c3fc4818874f1a18fab8c93359d
16|516951|58|5|unpatriotism greenhood saumon grubby ureterophlegma otalgy|0d261407f5e57465a9d7774dac735a2152bf61396cf93378ceb1ff32d01c1c5c
17|731586|81|6|amphigonous theopantism overcapitalization Madelon flouter exemplificator amalgam|f4c78fd15abd3236317dfd9f77b929e46b04631415dbce99302855cba1ad33cc
18|762924|61|5|transarctic vinometer Feringi visitatorial keawe sparkleberry|4e62c234e033f8ce793cba818c9b4a09b0ad6b1434935380729c08e5ad0cc47e
19|566850|46|3|incomparable unclimbable sphaerospore disinter|f4d580da509d9b2de8f0a5e0299eb08f2e305e4c05a845f2bf212ad1e8805eb5
20|674930|69|5|marchantiaceous vibronic cytoryctes nonethnological caseharden Abelia|3d5f11ab1ff4e7a16c27ae0dda3db85d591e8442656bbeba957a79cdcde6519b
21|166961|95|6|skeletonization unprocreant incompactness undershrievery infectible diminishableness rottenness|e46451e39b22225b6ed02de564c34c1eb0f89afd76f90293b72194d1d47412b2
22|554941|64|6|unallow sententially kerseymere unwept sterve slushily crankbird|52aad579f1369fff03680e83deff19b5f280329b33a25be4c9f709e07131d7c8
23|785989|60|5|felly unlearnedness locket noncondensible drawout vallecular|f1394c11b5ca6205b63f8b00d0bd1d6fd1bcc2eea1add6a7d22ea7476dd23ce5
24|213223|69|5|endogastric Lacertae splathering embosture shepherdism denominational|46c97d0dfc5e5318973893c9306004b13c419f4bd3b09d1f448a9fec9e72a834
25|529678|49|4|haem seroreaction indication mannify deliberation|d33a753343db20330a2f803554a289a9592b89fec28e1e0f25aa51721fec4572
26|752353|79|6|archiblastic preputium disobedience kingpiece cymbocephaly unactability giraffe|077a8db3c8245fbdd645811f41421303c4aca8973e0aa1fa3dbda86d457f5950
27|741148|72|6|sammer brachycatalectic shaps trichotomously eclecticize colloquy fainty|078b9b0589438e0089b80b0fa929f802634b1626240325f11e24c1eb8b661d17
28|890882|65|6|toosh quantification brachiopodous nictitate perosis kafiz azured|85d95149cdfb9378d238f818651388957836e489d9c35b136b7a3261a7c5b4da
29|348220|58|5|hirrient unassuming Leucichthys Aucaner ischuretic pushpin|a5e6fe6e66c9c6f76662f3198ebcb6fbd811cfc4dddc8555d505a6915fe50940
30|564699|59|4|satrap anthroropolith recitationalism insularity muddlesome|0af2324df1299784a97dd76fa36e3f32348a2836e8b12d6ae975950e3fe9ef08
31|276173|76|5|induplicate entomophthorous dipsomaniac subcuticular drivebolt hideboundness|37c341d2d7a4df914d9b43b74f15e5ac6ea89ee825a657bd3dd024dcb35eeecf
