index|value|clen|ws|data|validation
0|541649|43|3|Compsothlypidae Saussurea ropewalker Aselli|769f0beb0ee048e0ad1d3fd7251e2742f41b7a0203c25143b50e493caed6d17f
1|226902|44|3|horseshoer extracivic underplain requitative|72753906568d9005cb7d0fe2e58a911e7cf6ddf86e5488936b780b1f62bbcbc5
2|865237|46|4|leaflet lambkill Sal disalign radioanaphylaxis|c1edb53de18b0fc4c881742f10ea723f688aba73bb2e7cfc3955c987c759ab04
3|264423|39|3|buckleless mousmee enameloma anacrotism|d2c425be8c42c76b549e8e06092dd460ad3c5570f5876fd01afa0d1b3b2dbe60
4|650100|58|5|crenotherapy combinatory snell Tetracerus Notonecta retama|65e8505a92b47aa677b6430d7ce7b373e3a643cfac244b754b4ddec236c98e63
5|155133|84|6|mandate panphenomenalism perilousness surculous interpermeate temporizing cyanometer|a284684811166403a7fb4d230841485cda841f2516b03222ed63e5e23d554ac0
6|736662|39|3|cobbra Dibranchiata intercheck klystron|eee6c3f1a240fd944087f95dcca6651575342f3529ad1e28b586b8a518e56469
7|480629|66|5|perihepatic antipodagron hereabout sternitic foliiform nonmotorist|267ffc28ae0085d47e4d78add7f886e29dedcce08893f9c974426323309289d7
8|196579|52|4|poundmaster pigmentation fide antanaclasis bugginess|736650eeb41ceba6bd7f8d461c80c04bbf03fb06be4c720ae5c1c02ef099cc73
9|896481|34|3|Cyprina Gadidae andronitis Amuchco|199baf4839d88ceae2916d9314fbcb348c5c018a5ffcd790fdf46deae7bee75f
10|819128|63|4|Capernaitish phytometric stringiness reshoulder nonrationalized|be1a0d5f4da8d8ae3e98f0f76da5df2c3471742290396e9e52a0b2bd7b220691
11|932689|60|5|skullful stoma seedsman outpicket Leucetta dermatocellulitis|1ff1882548e3db35af4930a001e1ac9d1fe2f5fca1649fa7dab4c01aed63c897
12|119052|46|3|robotistic unimultiplex profarmer nondexterous|2581bf9c3f61deaaf057da077d3d4588ca5fc0378db445ea1ac2e615e1a3c0ce
13|263602|81|6|antitonic jumpiness intermeddler preternative subfactory exploitation deflagrator|23e4a465e2906c087dd010593ea41d239233b74ebbcdab3d47db7377fe0e6efd
14|740450|62|5|stubbed actinostomal overcriticalness iodic agon impremeditate|7b87fb19d7153331b7106911669e34696d7d58433c3bd1441906f1207fc8cfc6
15|740571|52|4|Antarctogaea amentaceous Slavey ingeneration nitrile|791fc45b416119f6ab67c9b26d50c24a45bff4fae239c52a1df4248954bb6377
16|811443|90|6|uncommunicativeness fashion copyholding tentwards Crossosoma mortician meningomyelorrhaphy|d51c36abd19aece69b0af4d217c010e268100fc27c1901d1e3fb24e1297c0452
17|141669|78|6|wigless macruran heartward dysplastic abusious unaccomplishedness cellulifugal|2e322b25ed7024413ff5fa22426f74241554eff6e51198367da9d51f4aa93b34
18|237529|44|3|loreal ribbidge escruage Christianogentilism|cd74b9b5fb5390b75f0c24342ed50b622e49c2b66139cd14c3183d1d856bba4e
19|326741|72|5|contemplation managemental virucidal mistrustless obtenebration confated|8510eb902e1d0150610d86b8ee43fd946a53e812c7d730c6615c356da09ae6e9
20|678268|54|5|Antiaris Warden perineptunium ochone nomos bistournage|cf61e5c8fd5b04d248ad42789893d4a06d56fda154fa2e9957e544c69452bba7
21|708703|66|5|Darwinize zonoplacental bispinose pseudoarchaist drawer unobsessed|63daae19285a5afb2520ece0dc870d1220d0e1ba7337df0a513bb6317b5511c6
22|525126|44|4|specular synthetism tulsi lyncean Tudoresque|e855abfe87fd9bdabc943d0f53bd658c9605797da3edfde6ba185fd78cf6a6b5
23|920290|63|5|splendent Turneraceae bidental engarment weighment unthreatened|812095924785face5f10e4f62681c0769189c67ba4ce6c3ec52a6ddb8439cfeb
24|693485|74|6|gnathostomous Podostemon maharani unstoked pachyhematous limsy monospermal|c23872375d552f61f523debc34d676d96c1fab6c9132c4f07c198ebf34697801
25|505437|70|5|melitriose nettlelike predictory untriumphable holosystematic banneret|9c43241c096f6ab613f07a2a1837b701bd51be2dc0d7fad8c9d83cdfc67c5943
26|625318|61|6|vocalise disquiet redemptress undubbed gaddish foots alalunga|e4cbf2eaf5a350f1b7195de17a8192c7d10e1a2b19a280ae784ec7b94440da4a
27|467372|54|4|predicrotic dissympathize transmitter pavane cellulose|2f5a590ba49b9670b9dfa01beb4fc1e5d7e292e600074ac3dfed0d3c3c464f2b
28|151933|79|6|racialization Fascio Demosthenic nonreflector palladize iridin countercomplaint|599b4e3fb958afb6420419c493ba12d1c7c228c6128c93553f08fff0839c2e30
29|906327|63|4|experience antiplenist characterlessness mistranscript noseless|ff7da9fd6fef7cd8984785c9f5b61e39af49fa5be604e72035e1d1795a239549
30|480154|56|4|Euraquilo astroblast philodemic hamirostrate consumption|f1a0778cc0dde7f3b00ec8fa4931bd96e985e243a5c14daeca8a7a73dc4960a6
31|725513|77|6|electrolithotrity unpreened interlobular jestingly troika unslapped triangler|49147fb48a03908d2470d38a3af8c86fc049a48873c0e0eb2cff8ba197020b94
32|820195|57|4|Ambassadeur Dalmatian cryaesthesia cobaltous ultralenient|3e63378bf362d4cd9a2b23ac0a8fe15443dfca5a9ed5469fe9ffc504444aa08c
33|650560|43|3|mortification misandry pactionally hellbred|387ed323d536ce4d8f58f9f61bd6439ffebb3f1a867c86a8ea6fb09ad8f0a90e
34|611905|37|3|excurrent cyanuret tellingly archival|e7b5f4c4b3b2e01c12fc8bc7a1e4662320751831ffa78df5f5ea0bb991a29804
35|880739|56|4|Hippocrateaceae apperception essoiner vaticinator sparge|1bac5946211f4097afb4d0772c64bef30ea0ada32d5e3dd7ff95a6336bfab813
36|490896|39|3|fireproofing cheeser plenipotence kalon|ada4105521a74bb2570b2b206a4b7aacce38f915ca3b15320191138f316d0d6b
37|190730|73|6|ungenerical interpenetration reseise choriambus galuchat reflexively unca|0e93027a74a74916f330e3541318cce52f167a8d56c31e3a9e6b4f93596063ed
38|136428|31|3|gatehouse tule tensility saeume|262dbc0960f9cc2b969b363beb53182a969065a2c552c3dcaf34e4d7d23a0306
39|916523|40|3|copolymerize unferried Libyan sophomoric|094e42fd7c8f5716fbd22c428785e0e9bc7d603a95780d5969ee23223298d9df
40|453790|63|5|awning zoanthid correctress organbird lentoid crystallophyllian|9a03fbb6baf324dc8874b60efe70c12871b561a746bd1e52a60342cd965a4d7d
41|729179|67|4|contemperature prediscountable whitlow ureterorectostomy flocculent|298ed1f0b0e055cf7a960b63888fb7bf05e2a0679235e902e459510f0eb5e308
42|911692|63|5|wusp caseworker circumaviator macromesentery ostiole doctorship|6a17560607ff695d08f110fffbd0afdcde288331d6e49ec3735a75020070fbcf
43|652483|48|4|accentuation unresting basilary turicata mediate|f9ff871b54e8511be861be52bc396576ed62f3f8b12e8b1de153f10c4ab4411a
44|489596|69|5|kamaloka ferulic aphrodisia proethnically outchamber noncollaborative|7f4ae7c690d1f5ec5debf507411005fa9bc42dbe7f08fd58d194cd3ac68c219b
45|854108|45|3|intercadence sanding average preaccommodating|e1c76a945e15f768f65e86c80c0497d2d5fb4200dcff982c3e1cd51c906ed67c
46|413066|53|3|semidependence cunctatorship coryphaenid wastefulness|eafd06a4306f8fa091d65e1b0f66d6bb9e85eac9261114b8d3d13809e7e586f2
47|582219|60|5|unfrisky oblong morphophonemics exterminator depression jinx|258f88148c09bbcb560ed05f666b7dd8bbeb47b8c1670e3c0e86fdd45e8dcee0
48|171201|69|5|setdown fibrovascular zemimdari anodynic underspecified maddeningness|5e629aeb24fbb5fa98765c0b99b1de3dd9b205dc8dab0f068dcd67bdf9dec314
